"codigo_sede","total_act_2022","total_act_2023","diferencia","tendencia"
"486760000043","2","2","0","null"
"486568061250","2","2","0","null"
"485001004569","4","4","0","null"
"485001003775","4","4","0","null"
"481065800029","4","4","0","null"
"476895000382","4","4","0","null"
"476892100092","4","4","0","null"
"476892100084","4","4","0","null"
"476892100033","4","4","0","null"
"476892099710","4","4","0","null"
"476736000258","4","4","0","null"
"476520007127","2","2","0","null"
"476520006359","4","4","0","null"
"476520006324","2","2","0","null"
"476520003791","2","2","0","null"
"476364800074","2","2","0","null"
"476364002569","4","4","0","null"
"476364002372","4","4","0","null"
"476318000284","4","4","0","null"
"476275000404","4","4","0","null"
"476248001041","4","4","0","null"
"476130001330","2","2","0","null"
"476130001283","4","4","0","null"
"476130001140","2","2","0","null"
"476130000953","4","4","0","null"
"476130000902","4","4","0","null"
"476130000571","4","4","0","null"
"476001800374","4","4","0","null"
"476001800153","4","4","0","null"
"476001038251","2","2","0","null"
